Panel,Protein,Uniprot,OlinkRef,Diagnosis,Inter subject,Biotemporal
CARDIOVASCULAR III,TNFSF13B,Q9Y275,OID00617,0,71.27648155902659,28.723518440973415
CARDIOVASCULAR III,TR,P02786,OID00593,0,61.861384487152584,38.13861551284741
CARDIOVASCULAR III,TR.AP,P13686,OID00606,0,66.2569575689011,33.743042431098914
CARDIOVASCULAR III,U.PAR,Q03405,OID00620,0,74.72737747907088,25.27262252092911
CARDIOVASCULAR III,uPA,P00749,OID00631,0,61.21373178505627,38.786268214943725
CARDIOVASCULAR III,vWF,P04275,OID00651,0,72.07173345153937,27.928266548460623
IMMUNO-ONCOLOGY,ADA,P00813,OID00775,1.726824910619842,57.909648018264285,40.363527071115875
IMMUNO-ONCOLOGY,ADGRG1,Q9Y653,OID00764,0,95.83470659453643,4.16529340546356
IMMUNO-ONCOLOGY,ANG.1,Q15389,OID00760,0,61.81109651227058,38.18890348772942
IMMUNO-ONCOLOGY,ANGPT2,O15123,OID00822,0,68.99214144889166,31.007858551108338
IMMUNO-ONCOLOGY,CAIX,Q16790,OID00773,0,79.27293301984332,20.727066980156682
IMMUNO-ONCOLOGY,CASP.8,Q14790,OID00827,1.3673135546400357,29.304506343309257,69.32818010205071
IMMUNO-ONCOLOGY,CCL17,Q92583,OID00821,0,65.4685285379754,34.5314714620246
IMMUNO-ONCOLOGY,CCL19,Q99731,OID00794,0,78.47054650302094,21.529453496979055
IMMUNO-ONCOLOGY,CCL20,P78556,OID00837,0,63.31365973206195,36.68634026793804
IMMUNO-ONCOLOGY,CCL23,P55773,OID00811,2.788745063215152,74.75569144085804,22.45556349592679
IMMUNO-ONCOLOGY,CCL3,P10147,OID00813,0,75.30843493202823,24.69156506797175
IMMUNO-ONCOLOGY,CCL4,P13236,OID00796,0.9156892516926197,73.58015213548335,25.504158612824032
IMMUNO-ONCOLOGY,CD244,Q9BZW8,OID00758,0,55.666723177668445,44.33327682233155
IMMUNO-ONCOLOGY,CD27,P26842,OID00800,0,81.89519389334434,18.104806106655655
IMMUNO-ONCOLOGY,CD28,P10747,OID00793,0,79.54826341854022,20.451736581459784
IMMUNO-ONCOLOGY,CD4,P01730,OID00776,0,77.0100389910916,22.989961008908384
IMMUNO-ONCOLOGY,CD40,P25942,OID00781,0,51.18627327464595,48.81372672535406
IMMUNO-ONCOLOGY,CD40.L,P29965,OID00756,0,44.18786447521455,55.81213552478544
IMMUNO-ONCOLOGY,CD5,P06127,OID00812,0.0036491534528446962,73.35645504525822,26.63989580128893
IMMUNO-ONCOLOGY,CD70,P32970,OID00808,4.579078746620075,75.07648495807908,20.34443629530085
